Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FSIP2	1004.823576715554	1.9981428694415848	0.3650753274848256	5.473234477957534	4.4189479203656284e-8	4.476125173901976e-7
USP6NL	625.7867831802213	2.010542810102782	0.3147507207952412	6.387730598433564	1.6836560783888497e-10	2.170561386900558e-9
UBE2Q2P1	657.3980107948371	2.014754712961867	0.2746819024422155	7.334865147825704	2.219448477166695e-13	3.5719700561359064e-12
CASC2	1042.5833104810808	2.0165939133705946	0.24431605855646774	8.25403751716348	1.531312497014348e-16	3.024342181603337e-15
SLC25A29	181.8117021304916	2.0262553625808173	0.4320177498571308	4.690213222144007	2.729204961590055e-6	2.203358611314491e-5
LOC101928135	120.22876411403954	2.0283321707729245	0.40454880480269717	5.0138132820888295	5.336177146321378e-7	4.7344205542823675e-6
TRIM67	3768.4232618419187	2.0311467159196717	0.3073165334144466	6.609298540994768	3.861453085662471e-11	5.256254904409631e-10
GBGT1	134.9886256485477	2.03483117934708	0.42570836274920226	4.7798712860753945	1.7540745643198806e-6	1.4598218508480383e-5
NPAS2	2624.735243716099	2.0416341380603056	0.3028349512351966	6.741738791156479	1.565022583006829e-11	2.2175639400983742e-10
ABCG5	83.96503012299426	2.0470163281281684	0.46666890431360547	4.3864425274681595	1.1521959078361849e-5	8.421690494919237e-5
RPS6KA2	5211.993369707924	2.0482121948415277	0.23492618044279395	8.71853529045172	2.818237119049965e-18	6.110065212616973e-17
SUGCT	1356.249183144399	2.04882344686543	0.267956997926618	7.646090464957798	2.071819343693632e-14	3.5701739507214667e-13
LRRCC1	128.61760822887632	2.0504737270994013	0.39715654207539475	5.162885436519253	2.431719782551713e-7	2.2765792185025537e-6
ANKRD42	427.02544884637757	2.0580402808795055	0.30419505304413996	6.765528434089543	1.3282350536559328e-11	1.8913411245515468e-10
SPEF2	971.4698198068869	2.0599726094174375	0.25198084148881095	8.17511600186044	2.9558135474247997e-16	5.713802255195135e-15
CNR1	4442.7138352873135	2.066755017488629	0.2901244870322728	7.123683487146425	1.0508020021261665e-12	1.623207628462929e-11
LINC00276	100.71179636405691	2.076208176675596	0.46863403486591254	4.430340142217048	9.408456974304897e-6	6.962177678034604e-5
DISC1FP1	162.4694289793883	2.0808496123462183	0.3809321711886819	5.462520022535823	4.694225675117003e-8	4.746627609888911e-7
DGKH	6745.645569449853	2.084270712518303	0.31326145745169226	6.653454049129923	2.8629322720497334e-11	3.953040003091176e-10
AKR1C6P	201.78300088983912	2.0946745085693923	0.34931946133237896	5.996443772642546	2.0168539769805435e-9	2.3465763722757488e-8
APPL2	5070.7568860297315	2.0990434208111255	0.22454153428174242	9.348129857246636	8.921109833400174e-21	2.2175879486732243e-19
AK8	373.4695031250597	2.104478623882002	0.28707421451838694	7.330782485680933	2.2881278018768573e-13	3.675663797611097e-12
EFNA5	10766.610509405653	2.107542943725328	0.38303619086785684	5.502203170280604	3.750743660766553e-8	3.823901949023108e-7
ARHGEF28	112.62310358337908	2.1134183585048403	0.42260327064247183	5.0009512593025365	5.704813486139957e-7	5.035662149168745e-6
ALOXE3	172.3938242283368	2.119708836815852	0.36876678033723015	5.7481013742002975	9.025112596758292e-9	9.808007100283618e-8
GREB1L	309.37766044064864	2.125151946795957	0.3473754424381148	6.117738006694456	9.491294099766355e-10	1.1403394390281785e-8
FNDC5	348.8763906274106	2.1252821378571833	0.3268788908159731	6.50174176910579	7.939530630118261e-11	1.0493645487522998e-9
LOXL2	1463.7787151558348	2.1275664809827743	0.2694763290919942	7.895188746824819	2.898762161754261e-15	5.312657220393059e-14
NIM1K	982.6229750814533	2.129460840926911	0.32406712468921567	6.571048646076303	4.996213184559525e-11	6.732047064335229e-10
DTNBP1	1102.980625805706	2.135825574118123	0.23813446835247196	8.968989617062935	2.992467656311158e-19	6.848238481724782e-18
CSDC2	156.58038280394052	2.137282669731722	0.43173426531538356	4.950458746123449	7.403875090786285e-7	6.436906680688117e-6
ATP1A3	5558.0106653926405	2.1381147211623026	0.23314143675540583	9.170891073324942	4.6912493475333835e-20	1.1181282556279938e-18
DENND3	131.76316275809558	2.1432102350469693	0.3953811283373307	5.420618439882715	5.9393206853456925e-8	5.929381833650654e-7
SPOCK2	3114.7141112095396	2.143234859019839	0.27729307623281335	7.729132252910612	1.082821353466757e-14	1.9116216567682e-13
